REF_DATE,GEO,DGUID,Educational qualification,Field of study,Gender,Age group,Status of student in Canada,Characteristics after graduation,Graduate statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2020,Canada,2016A11124,"Career, technical or professional training diploma",BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512140535,1.3.13.1.2.3.4.2,39200,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma",Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512140597,1.3.14.1.2.3.4.1,6850,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma",Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512140597,1.3.14.1.2.3.4.1,10010,,,,0
2020,Canada,2016A11124,"Career, technical or professional training diploma",Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512140597,1.3.14.1.2.3.4.1,12570,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma",Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512140598,1.3.14.1.2.3.4.2,37400,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma",Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512140598,1.3.14.1.2.3.4.2,38900,,,,0
2020,Canada,2016A11124,"Career, technical or professional training diploma",Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512140598,1.3.14.1.2.3.4.2,38600,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma",Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512140788,1.3.17.1.2.3.4.1,980,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma",Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512140788,1.3.17.1.2.3.4.1,1740,,,,0
2020,Canada,2016A11124,"Career, technical or professional training diploma",Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512140788,1.3.17.1.2.3.4.1,2760,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma",Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512140789,1.3.17.1.2.3.4.2,36200,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma",Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512140789,1.3.17.1.2.3.4.2,39700,,,,0
2020,Canada,2016A11124,"Career, technical or professional training diploma",Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512140789,1.3.17.1.2.3.4.2,38700,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma",Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512140977,1.3.20.1.2.3.4.1,1200,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma",Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512140977,1.3.20.1.2.3.4.1,1950,,,,0
2020,Canada,2016A11124,"Career, technical or professional training diploma",Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512140977,1.3.20.1.2.3.4.1,1760,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma",Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512140978,1.3.20.1.2.3.4.2,34500,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma",Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512140978,1.3.20.1.2.3.4.2,40100,,,,0
2020,Canada,2016A11124,"Career, technical or professional training diploma",Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512140978,1.3.20.1.2.3.4.2,40100,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma",Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512141103,1.3.22.1.2.3.4.1,100,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma",Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512141103,1.3.22.1.2.3.4.1,160,,,,0
2020,Canada,2016A11124,"Career, technical or professional training diploma",Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512141103,1.3.22.1.2.3.4.1,150,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma",Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512141104,1.3.22.1.2.3.4.2,41800,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma",Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512141104,1.3.22.1.2.3.4.2,41000,,,,0
2020,Canada,2016A11124,"Career, technical or professional training diploma",Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512141104,1.3.22.1.2.3.4.2,39700,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma",Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512141418,1.3.25.1.2.3.4.1,680,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma",Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512141418,1.3.25.1.2.3.4.1,880,,,,0
2020,Canada,2016A11124,"Career, technical or professional training diploma",Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512141418,1.3.25.1.2.3.4.1,780,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma",Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512141419,1.3.25.1.2.3.4.2,47200,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma",Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512141419,1.3.25.1.2.3.4.2,48900,,,,0
2020,Canada,2016A11124,"Career, technical or professional training diploma",Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512141419,1.3.25.1.2.3.4.2,45500,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma",Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512141889,1.3.30.1.2.3.4.1,30,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma",Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512141889,1.3.30.1.2.3.4.1,50,,,,0
2020,Canada,2016A11124,"Career, technical or professional training diploma",Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512141889,1.3.30.1.2.3.4.1,60,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma",Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512141890,1.3.30.1.2.3.4.2,37500,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma",Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512141890,1.3.30.1.2.3.4.2,41000,,,,0
2020,Canada,2016A11124,"Career, technical or professional training diploma",Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512141890,1.3.30.1.2.3.4.2,42200,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma","Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512142015,1.3.32.1.2.3.4.1,2070,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma","Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512142015,1.3.32.1.2.3.4.1,3150,,,,0
2020,Canada,2016A11124,"Career, technical or professional training diploma","Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512142015,1.3.32.1.2.3.4.1,3790,,,,0
2018,Canada,2016A11124,"Career, technical or professional training diploma","Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512142016,1.3.32.1.2.3.4.2,35900,,,,0
2019,Canada,2016A11124,"Career, technical or professional training diploma","Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512142016,1.3.32.1.2.3.4.2,39000,,,,0
2020,Canada,2016A11124,"Career, technical or professional training diploma","Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512142016,1.3.32.1.2.3.4.2,40300,,,,0
2018,Canada,2016A11124,Undergraduate degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512182201,1.11.1.1.2.3.4.1,12230,,,,0
2019,Canada,2016A11124,Undergraduate degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512182201,1.11.1.1.2.3.4.1,12980,,,,0
2020,Canada,2016A11124,Undergraduate degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512182201,1.11.1.1.2.3.4.1,13760,,,,0
2018,Canada,2016A11124,Undergraduate degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512182202,1.11.1.1.2.3.4.2,45500,,,,0
2019,Canada,2016A11124,Undergraduate degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512182202,1.11.1.1.2.3.4.2,46800,,,,0
2020,Canada,2016A11124,Undergraduate degree,"Total, field of study","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512182202,1.11.1.1.2.3.4.2,48700,,,,0
2018,Canada,2016A11124,Undergraduate degree,STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512182264,1.11.2.1.2.3.4.1,4380,,,,0
2019,Canada,2016A11124,Undergraduate degree,STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512182264,1.11.2.1.2.3.4.1,4820,,,,0
2020,Canada,2016A11124,Undergraduate degree,STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512182264,1.11.2.1.2.3.4.1,5430,,,,0
2018,Canada,2016A11124,Undergraduate degree,STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512182265,1.11.2.1.2.3.4.2,55800,,,,0
2019,Canada,2016A11124,Undergraduate degree,STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512182265,1.11.2.1.2.3.4.2,56700,,,,0
2020,Canada,2016A11124,Undergraduate degree,STEM [a],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512182265,1.11.2.1.2.3.4.2,58200,,,,0
2018,Canada,2016A11124,Undergraduate degree,Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512182327,1.11.3.1.2.3.4.1,990,,,,0
2019,Canada,2016A11124,Undergraduate degree,Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512182327,1.11.3.1.2.3.4.1,1040,,,,0
2020,Canada,2016A11124,Undergraduate degree,Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512182327,1.11.3.1.2.3.4.1,1120,,,,0
2018,Canada,2016A11124,Undergraduate degree,Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512182328,1.11.3.1.2.3.4.2,39400,,,,0
2019,Canada,2016A11124,Undergraduate degree,Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512182328,1.11.3.1.2.3.4.2,40500,,,,0
2020,Canada,2016A11124,Undergraduate degree,Science and science technology [a.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512182328,1.11.3.1.2.3.4.2,43400,,,,0
2018,Canada,2016A11124,Undergraduate degree,Engineering and engineering technology [a.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512182579,1.11.7.1.2.3.4.1,1870,,,,0
2019,Canada,2016A11124,Undergraduate degree,Engineering and engineering technology [a.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512182579,1.11.7.1.2.3.4.1,1960,,,,0
2020,Canada,2016A11124,Undergraduate degree,Engineering and engineering technology [a.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512182579,1.11.7.1.2.3.4.1,2220,,,,0
2018,Canada,2016A11124,Undergraduate degree,Engineering and engineering technology [a.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512182580,1.11.7.1.2.3.4.2,64000,,,,0
2019,Canada,2016A11124,Undergraduate degree,Engineering and engineering technology [a.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512182580,1.11.7.1.2.3.4.2,63400,,,,0
2020,Canada,2016A11124,Undergraduate degree,Engineering and engineering technology [a.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512182580,1.11.7.1.2.3.4.2,62700,,,,0
2018,Canada,2016A11124,Undergraduate degree,Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512182768,1.11.10.1.2.3.4.1,1530,,,,0
2019,Canada,2016A11124,Undergraduate degree,Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512182768,1.11.10.1.2.3.4.1,1810,,,,0
2020,Canada,2016A11124,Undergraduate degree,Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512182768,1.11.10.1.2.3.4.1,2110,,,,0
2018,Canada,2016A11124,Undergraduate degree,Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512182769,1.11.10.1.2.3.4.2,60000,,,,0
2019,Canada,2016A11124,Undergraduate degree,Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512182769,1.11.10.1.2.3.4.2,62400,,,,0
2020,Canada,2016A11124,Undergraduate degree,Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512182769,1.11.10.1.2.3.4.2,66200,,,,0
2018,Canada,2016A11124,Undergraduate degree,BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512182957,1.11.13.1.2.3.4.1,7860,,,,0
2019,Canada,2016A11124,Undergraduate degree,BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512182957,1.11.13.1.2.3.4.1,8170,,,,0
2020,Canada,2016A11124,Undergraduate degree,BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512182957,1.11.13.1.2.3.4.1,8330,,,,0
2018,Canada,2016A11124,Undergraduate degree,BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512182958,1.11.13.1.2.3.4.2,40700,,,,0
2019,Canada,2016A11124,Undergraduate degree,BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512182958,1.11.13.1.2.3.4.2,42700,,,,0
2020,Canada,2016A11124,Undergraduate degree,BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512182958,1.11.13.1.2.3.4.2,45100,,,,0
2018,Canada,2016A11124,Undergraduate degree,Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512183020,1.11.14.1.2.3.4.1,3690,,,,0
2019,Canada,2016A11124,Undergraduate degree,Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512183020,1.11.14.1.2.3.4.1,3830,,,,0
2020,Canada,2016A11124,Undergraduate degree,Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512183020,1.11.14.1.2.3.4.1,3730,,,,0
2018,Canada,2016A11124,Undergraduate degree,Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512183021,1.11.14.1.2.3.4.2,45100,,,,0
2019,Canada,2016A11124,Undergraduate degree,Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512183021,1.11.14.1.2.3.4.2,46800,,,,0
2020,Canada,2016A11124,Undergraduate degree,Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512183021,1.11.14.1.2.3.4.2,49500,,,,0
2018,Canada,2016A11124,Undergraduate degree,Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512183209,1.11.17.1.2.3.4.1,830,,,,0
2019,Canada,2016A11124,Undergraduate degree,Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512183209,1.11.17.1.2.3.4.1,900,,,,0
2020,Canada,2016A11124,Undergraduate degree,Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512183209,1.11.17.1.2.3.4.1,950,,,,0
2018,Canada,2016A11124,Undergraduate degree,Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512183210,1.11.17.1.2.3.4.2,33400,,,,0
2019,Canada,2016A11124,Undergraduate degree,Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512183210,1.11.17.1.2.3.4.2,35700,,,,0
2020,Canada,2016A11124,Undergraduate degree,Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512183210,1.11.17.1.2.3.4.2,36000,,,,0
2018,Canada,2016A11124,Undergraduate degree,Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512183398,1.11.20.1.2.3.4.1,2590,,,,0
2019,Canada,2016A11124,Undergraduate degree,Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512183398,1.11.20.1.2.3.4.1,2700,,,,0
2020,Canada,2016A11124,Undergraduate degree,Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512183398,1.11.20.1.2.3.4.1,2740,,,,0
2018,Canada,2016A11124,Undergraduate degree,Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512183399,1.11.20.1.2.3.4.2,36300,,,,0
2019,Canada,2016A11124,Undergraduate degree,Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512183399,1.11.20.1.2.3.4.2,39200,,,,0
2020,Canada,2016A11124,Undergraduate degree,Social and behavioural sciences [b.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512183399,1.11.20.1.2.3.4.2,42200,,,,0
2018,Canada,2016A11124,Undergraduate degree,Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512183524,1.11.22.1.2.3.4.1,10,,,,0
2019,Canada,2016A11124,Undergraduate degree,Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512183524,1.11.22.1.2.3.4.1,10,,,,0
2020,Canada,2016A11124,Undergraduate degree,Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512183524,1.11.22.1.2.3.4.1,10,,,,0
2018,Canada,2016A11124,Undergraduate degree,Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512183525,1.11.22.1.2.3.4.2,,x,,,0
2019,Canada,2016A11124,Undergraduate degree,Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512183525,1.11.22.1.2.3.4.2,,x,,,0
2020,Canada,2016A11124,Undergraduate degree,Legal professions and studies [b.4],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512183525,1.11.22.1.2.3.4.2,,x,,,0
2018,Canada,2016A11124,Undergraduate degree,Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512183839,1.11.25.1.2.3.4.1,220,,,,0
2019,Canada,2016A11124,Undergraduate degree,Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512183839,1.11.25.1.2.3.4.1,270,,,,0
2020,Canada,2016A11124,Undergraduate degree,Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512183839,1.11.25.1.2.3.4.1,440,,,,0
2018,Canada,2016A11124,Undergraduate degree,Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512183840,1.11.25.1.2.3.4.2,58200,,,,0
2019,Canada,2016A11124,Undergraduate degree,Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512183840,1.11.25.1.2.3.4.2,51900,,,,0
2020,Canada,2016A11124,Undergraduate degree,Health care [b.5],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512183840,1.11.25.1.2.3.4.2,44500,,,,0
2018,Canada,2016A11124,Undergraduate degree,Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512184186,1.11.30.1.2.3.4.1,70,,,,0
2019,Canada,2016A11124,Undergraduate degree,Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512184186,1.11.30.1.2.3.4.1,70,,,,0
2020,Canada,2016A11124,Undergraduate degree,Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512184186,1.11.30.1.2.3.4.1,60,,,,0
2018,Canada,2016A11124,Undergraduate degree,Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512184187,1.11.30.1.2.3.4.2,54000,,,,0
2019,Canada,2016A11124,Undergraduate degree,Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512184187,1.11.30.1.2.3.4.2,49300,,,,0
2020,Canada,2016A11124,Undergraduate degree,Education and teaching [b.6],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512184187,1.11.30.1.2.3.4.2,44600,,,,0
2018,Canada,2016A11124,Undergraduate degree,"Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512184312,1.11.32.1.2.3.4.1,440,,,,0
2019,Canada,2016A11124,Undergraduate degree,"Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512184312,1.11.32.1.2.3.4.1,380,,,,0
2020,Canada,2016A11124,Undergraduate degree,"Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512184312,1.11.32.1.2.3.4.1,390,,,,0
2018,Canada,2016A11124,Undergraduate degree,"Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512184313,1.11.32.1.2.3.4.2,39900,,,,0
2019,Canada,2016A11124,Undergraduate degree,"Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512184313,1.11.32.1.2.3.4.2,37000,,,,0
2020,Canada,2016A11124,Undergraduate degree,"Trades, services, natural resources and conservation [b.7]","Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512184313,1.11.32.1.2.3.4.2,43700,,,,0
