REF_DATE,GEO,DGUID,Educational qualification,Field of study,Gender,Age group,Status of student in Canada,Characteristics after graduation,Graduate statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2020,Canada,2016A11124,"Career, technical or professional training certificate",Engineering and engineering technology [a.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512137211,1.2.7.1.2.3.4.2,47300,,,,0
2018,Canada,2016A11124,"Career, technical or professional training certificate",Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512137403,1.2.10.1.2.3.4.1,130,,,,0
2019,Canada,2016A11124,"Career, technical or professional training certificate",Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512137403,1.2.10.1.2.3.4.1,130,,,,0
2020,Canada,2016A11124,"Career, technical or professional training certificate",Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512137403,1.2.10.1.2.3.4.1,270,,,,0
2018,Canada,2016A11124,"Career, technical or professional training certificate",Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512137404,1.2.10.1.2.3.4.2,48600,,,,0
2019,Canada,2016A11124,"Career, technical or professional training certificate",Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512137404,1.2.10.1.2.3.4.2,45100,,,,0
2020,Canada,2016A11124,"Career, technical or professional training certificate",Mathematics and computer and information sciences [a.3],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512137404,1.2.10.1.2.3.4.2,44800,,,,0
2018,Canada,2016A11124,"Career, technical or professional training certificate",BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512137592,1.2.13.1.2.3.4.1,3430,,,,0
2019,Canada,2016A11124,"Career, technical or professional training certificate",BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512137592,1.2.13.1.2.3.4.1,4910,,,,0
2020,Canada,2016A11124,"Career, technical or professional training certificate",BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512137592,1.2.13.1.2.3.4.1,6680,,,,0
2018,Canada,2016A11124,"Career, technical or professional training certificate",BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512137593,1.2.13.1.2.3.4.2,34700,,,,0
2019,Canada,2016A11124,"Career, technical or professional training certificate",BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512137593,1.2.13.1.2.3.4.2,38300,,,,0
2020,Canada,2016A11124,"Career, technical or professional training certificate",BHASE [b],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512137593,1.2.13.1.2.3.4.2,38700,,,,0
2018,Canada,2016A11124,"Career, technical or professional training certificate",Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512137655,1.2.14.1.2.3.4.1,1370,,,,0
2019,Canada,2016A11124,"Career, technical or professional training certificate",Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512137655,1.2.14.1.2.3.4.1,2120,,,,0
2020,Canada,2016A11124,"Career, technical or professional training certificate",Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512137655,1.2.14.1.2.3.4.1,3800,,,,0
2018,Canada,2016A11124,"Career, technical or professional training certificate",Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512137656,1.2.14.1.2.3.4.2,35800,,,,0
2019,Canada,2016A11124,"Career, technical or professional training certificate",Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512137656,1.2.14.1.2.3.4.2,38800,,,,0
2020,Canada,2016A11124,"Career, technical or professional training certificate",Business and administration [b.1],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Median employment income,2022 constant dollars,439,units,0,v1512137656,1.2.14.1.2.3.4.2,39200,,,,0
2018,Canada,2016A11124,"Career, technical or professional training certificate",Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512137846,1.2.17.1.2.3.4.1,400,,,,0
2019,Canada,2016A11124,"Career, technical or professional training certificate",Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512137846,1.2.17.1.2.3.4.1,620,,,,0
2020,Canada,2016A11124,"Career, technical or professional training certificate",Arts and humanities [b.2],"Total, gender",15 to 34 years ,International students,Graduates reporting employment income,Number of graduates,Number,223,units,0,v1512137846,1.2.17.1.2.3.4.1,550,,,,0
